method,metric,value
mobj,IM1,0.0324870027849859
mobj,IM2,0.000793137287551855
mobj,target valid,1.0
mobj,continuous proximity,0.09608240932302545
mobj,causal validity,0.4069767441860465
mobj,IM1,0.026978126368118163
mobj,IM2,0.0005261304635609617
mobj,target valid,1.0
mobj,continuous proximity,0.09601406429587653
mobj,causal validity,0.40229885057471265
mobj,IM1,0.030484658161824878
mobj,IM2,0.0007288194040595099
mobj,target valid,1.0
mobj,continuous proximity,0.09597929794284925
mobj,causal validity,0.3977272727272727
mobj,IM1,0.024317640562046296
mobj,IM2,0.0006305832965995609
mobj,target valid,1.0
mobj,continuous proximity,0.09597942874638685
mobj,causal validity,0.4044943820224719
mobj,IM1,0.022277771203056823
mobj,IM2,0.0005380360919827562
mobj,target valid,1.0
mobj,continuous proximity,0.0962287341656373
mobj,causal validity,0.4
mobj,IM1,0.0339390445866421
mobj,IM2,0.0005525584572612338
mobj,target valid,1.0
mobj,continuous proximity,0.09661518917835858
mobj,causal validity,0.3956043956043956
mobj,IM1,0.02433019311187958
mobj,IM2,0.00044346247248925583
mobj,target valid,1.0
mobj,continuous proximity,0.09654904887915412
mobj,causal validity,0.391304347826087
mobj,IM1,0.021946881075620966
mobj,IM2,0.00048347475604663904
mobj,target valid,1.0
mobj,continuous proximity,0.09654561835793342
mobj,causal validity,0.3870967741935484
mobj,IM1,0.03996269054468033
mobj,IM2,0.0004134222210210554
mobj,target valid,1.0
mobj,continuous proximity,0.09656516858473073
mobj,causal validity,0.39361702127659576
mobj,IM1,0.02335559407845835
mobj,IM2,0.0005211302305015054
mobj,target valid,1.0
mobj,continuous proximity,0.0964653098200583
mobj,causal validity,0.4
mobj,IM1,0.02722113099277033
mobj,IM2,0.00083412973373907
mobj,target valid,1.0
mobj,continuous proximity,0.09639804573986065
mobj,causal validity,0.40625
mobj,IM1,0.02878269364955413
mobj,IM2,0.0007376292058335435
mobj,target valid,1.0
mobj,continuous proximity,0.09635142204963155
mobj,causal validity,0.41237113402061853
mobj,IM1,0.029502209959373527
mobj,IM2,0.0005255728349011095
mobj,target valid,1.0
mobj,continuous proximity,0.0968923376561736
mobj,causal validity,0.41836734693877553
mobj,IM1,0.02480198020586471
mobj,IM2,0.000862995437146396
mobj,target valid,1.0
mobj,continuous proximity,0.09696550421489139
mobj,causal validity,0.42424242424242425
mobj,IM1,0.04270788191498259
mobj,IM2,0.00043472944910864363
mobj,target valid,1.0
mobj,continuous proximity,0.09706860751545646
mobj,causal validity,0.43
mobj,IM1,0.032868466990542286
mobj,IM2,0.0004973874543460021
mobj,target valid,1.0
mobj,continuous proximity,0.09712904464820461
mobj,causal validity,0.43564356435643564
mobj,IM1,0.023107678581691243
mobj,IM2,0.0005551137546896128
mobj,target valid,1.0
mobj,continuous proximity,0.09704799353082637
mobj,causal validity,0.43137254901960786
mobj,IM1,0.031026208144430443
mobj,IM2,0.0005917318758407513
mobj,target valid,1.0
mobj,continuous proximity,0.0970671111022803
mobj,causal validity,0.4368932038834951
mobj,IM1,0.025141896218561454
mobj,IM2,0.00050665656070683
mobj,target valid,1.0
mobj,continuous proximity,0.09730215843089099
mobj,causal validity,0.4326923076923077
mobj,IM1,0.022554508653080865
mobj,IM2,0.0005654609361495113
mobj,target valid,1.0
mobj,continuous proximity,0.09741325363317671
mobj,causal validity,0.4380952380952381
mobj,IM1,0.020406138172975128
mobj,IM2,0.00042058613311874755
mobj,target valid,1.0
mobj,continuous proximity,0.09767298964460797
mobj,causal validity,0.4339622641509434
mobj,IM1,0.02104006858031319
mobj,IM2,0.0005963649242818404
mobj,target valid,1.0
mobj,continuous proximity,0.09765850123456397
mobj,causal validity,0.4392523364485981
mobj,IM1,0.01877381982085042
mobj,IM2,0.00048746015165334055
mobj,target valid,1.0
mobj,continuous proximity,0.09754292623826707
mobj,causal validity,0.4351851851851852
mobj,IM1,0.021700927820268896
mobj,IM2,0.0005111890046812023
mobj,target valid,1.0
mobj,continuous proximity,0.0975291144958593
mobj,causal validity,0.44036697247706424
mobj,IM1,0.022818684025549592
mobj,IM2,0.0004001469817299579
mobj,target valid,1.0
mobj,continuous proximity,0.09775069500981387
mobj,causal validity,0.43636363636363634
mobj,IM1,0.022131919002519793
mobj,IM2,0.0005722441488320606
mobj,target valid,1.0
mobj,continuous proximity,0.0977134901116752
mobj,causal validity,0.43243243243243246
mobj,IM1,0.021953829489333547
mobj,IM2,0.0006385711645749495
mobj,target valid,1.0
mobj,continuous proximity,0.09769805145254923
mobj,causal validity,0.4375
mobj,IM1,0.028944278912400513
mobj,IM2,0.00034703254216914036
mobj,target valid,1.0
mobj,continuous proximity,0.09756271665286989
mobj,causal validity,0.4336283185840708
mobj,IM1,0.028671958711671337
mobj,IM2,0.00037340910497947217
mobj,target valid,1.0
mobj,continuous proximity,0.09759045571517731
mobj,causal validity,0.4298245614035088
mobj,IM1,0.019678447449660845
mobj,IM2,0.0005153977903534172
mobj,target valid,1.0
mobj,continuous proximity,0.09772533575370988
mobj,causal validity,0.4260869565217391
mobj,IM1,0.025480320020611968
mobj,IM2,0.0006936540437089889
mobj,target valid,1.0
mobj,continuous proximity,0.09763481434660749
mobj,causal validity,0.43103448275862066
mobj,IM1,0.024728850543571462
mobj,IM2,0.00047527795499012883
mobj,target valid,1.0
mobj,continuous proximity,0.0978028748999549
mobj,causal validity,0.42735042735042733
mobj,IM1,0.024560413899141938
mobj,IM2,0.00044262810059970265
mobj,target valid,1.0
mobj,continuous proximity,0.09788205421915758
mobj,causal validity,0.423728813559322
mobj,IM1,0.01683836654128426
mobj,IM2,0.0004811752565317709
mobj,target valid,1.0
mobj,continuous proximity,0.09785304066484901
mobj,causal validity,0.42016806722689076
mobj,IM1,0.028688174501512984
mobj,IM2,0.0002987740491905823
mobj,target valid,1.0
mobj,continuous proximity,0.09778134634529337
mobj,causal validity,0.425
mobj,IM1,0.020756119670370648
mobj,IM2,0.00032326079846584674
mobj,target valid,1.0
mobj,continuous proximity,0.09778359958660189
mobj,causal validity,0.4214876033057851
mobj,IM1,0.01972916539745243
mobj,IM2,0.0004466773555256553
mobj,target valid,1.0
mobj,continuous proximity,0.09751566088518097
mobj,causal validity,0.4262295081967213
mobj,IM1,0.019093513503351728
mobj,IM2,0.0005951456228454003
mobj,target valid,1.0
mobj,continuous proximity,0.09760286213220494
mobj,causal validity,0.42276422764227645
mobj,IM1,0.017934898482690257
mobj,IM2,0.0003925371534409551
mobj,target valid,1.0
mobj,continuous proximity,0.09762088768901302
mobj,causal validity,0.41935483870967744
mobj,IM1,0.02651268783625665
mobj,IM2,0.0003887754820773148
mobj,target valid,1.0
mobj,continuous proximity,0.09748444317979411
mobj,causal validity,0.416
mobj,IM1,0.018620415166350636
mobj,IM2,0.0003726343168168044
mobj,target valid,1.0
mobj,continuous proximity,0.09745538995764444
mobj,causal validity,0.42063492063492064
mobj,IM1,0.01886846186044556
mobj,IM2,0.00037608373637005926
mobj,target valid,1.0
mobj,continuous proximity,0.09743662425899727
mobj,causal validity,0.41732283464566927
mobj,IM1,0.020393465812800642
mobj,IM2,0.0004576597166756418
mobj,target valid,1.0
mobj,continuous proximity,0.09736238061013226
mobj,causal validity,0.4140625
mobj,IM1,0.02473872142789725
mobj,IM2,0.0003026509350054923
mobj,target valid,1.0
mobj,continuous proximity,0.0974180771123728
mobj,causal validity,0.4186046511627907
mobj,IM1,0.019257589298950516
mobj,IM2,0.0003459330453241911
mobj,target valid,1.0
mobj,continuous proximity,0.09741666205825086
mobj,causal validity,0.4230769230769231
mobj,IM1,0.020732879857730334
mobj,IM2,0.00039790938090723647
mobj,target valid,1.0
mobj,continuous proximity,0.09737779710140629
mobj,causal validity,0.42748091603053434
mobj,IM1,0.01811470370196158
mobj,IM2,0.00035507373987663546
mobj,target valid,1.0
mobj,continuous proximity,0.09735379497310784
mobj,causal validity,0.42424242424242425
mobj,IM1,0.0195871567040948
mobj,IM2,0.0003465120532722794
mobj,target valid,1.0
mobj,continuous proximity,0.09730871008667748
mobj,causal validity,0.42857142857142855
mobj,IM1,0.027128679500163927
mobj,IM2,0.0003106007377814586
mobj,target valid,1.0
mobj,continuous proximity,0.09725764999654556
mobj,causal validity,0.4253731343283582
mobj,IM1,0.019751793369356698
mobj,IM2,0.0004899208686771285
mobj,target valid,1.0
mobj,continuous proximity,0.09724029145479991
mobj,causal validity,0.42962962962962964
mobj,IM1,0.022198836764865247
mobj,IM2,0.0004091713578098462
mobj,target valid,1.0
mobj,continuous proximity,0.09724045614307884
mobj,causal validity,0.4338235294117647
mobj,IM1,0.02137938164407711
mobj,IM2,0.0005265639075900698
mobj,target valid,1.0
mobj,continuous proximity,0.09728170370429788
mobj,causal validity,0.4306569343065693
mobj,IM1,0.01965645723656889
mobj,IM2,0.00033286679663430943
mobj,target valid,1.0
mobj,continuous proximity,0.09737233891856642
mobj,causal validity,0.427536231884058
mobj,IM1,0.015922071620318008
mobj,IM2,0.00044346918538612674
mobj,target valid,1.0
mobj,continuous proximity,0.09728238391415826
mobj,causal validity,0.4316546762589928
mobj,IM1,0.014184437644314906
mobj,IM2,0.00030696083906694825
mobj,target valid,1.0
mobj,continuous proximity,0.0974824024969265
mobj,causal validity,0.4357142857142857
mobj,IM1,0.020480763648962366
mobj,IM2,0.00040175456081694626
mobj,target valid,1.0
mobj,continuous proximity,0.09741209449400437
mobj,causal validity,0.4326241134751773
mobj,IM1,0.016924005803886776
mobj,IM2,0.00044420357335154886
mobj,target valid,1.0
mobj,continuous proximity,0.09728418379236353
mobj,causal validity,0.43661971830985913
mobj,IM1,0.0171605379416271
mobj,IM2,0.0005319218952879081
mobj,target valid,1.0
mobj,continuous proximity,0.09702584889195714
mobj,causal validity,0.43356643356643354
mobj,IM1,0.017338209483980467
